Issue Type,Summary,Description,Team,Original Estimate,Assignee,Parent Id,Sprint ID,Epic Link,Labels
Training,"[DocMatch-RT1/2026 S5] - Treinamento / Workshop / Onboarding","{panel:title=Training} Atividades de treinamento no início do projeto/célula, onboarding de novos membros do time, capacitação em geral. Período => 02/03/26 a 13/03/26 {panel}",DocMatch,0h,,234779,,
Rituals,"[DocMatch-RT1/2026 S5] - Outras Cerimônias e Ritos do Safe (Chapters, PI Planning, System Demo, Portifólio Review, PDCA e etc)","{panel:title=Outras Cerimônias e Ritos do Safe } Registro do esforço gasto na preparação e realização de Outras Cerimônias e Ritos do Safe . Período => 02/03/26 a 13/03/26 {panel}",DocMatch,0h,,234779,,
