Issue Type,Summary,Description,Team,Original Estimate,Assignee,Parent Id,Sprint ID,Epic Link,Labels
Sub-Imp,"[DEV] Criar classe IntegrationModelProperties","[DEV] Criar classe IntegrationModelProperties (ConfigurationProperties) e adicionar bloco docmatch.integracao.modelos no application.yml com os canais mapeados (kbnt, pdpj, mbpf e demais confirmados)",DocMatch,3h,I453044,PLTFAT-13439,,,
Sub-Imp,"[DEV] Criar componente IntegrationModelResolver","[DEV] Criar componente IntegrationModelResolver com fallback GACB_LIGHT para canais não mapeados e validação de valores na inicialização",DocMatch,3h,I453044,PLTFAT-13439,,,
Sub-Imp,"[DEV] Testes unitários","[DEV] Testes unitários (canal CIAM, canal GACB_LIGHT, canal não mapeado)",DocMatch,3h,I453044,PLTFAT-13439,,,
Sub-Test,[QA]Cenário Teste,[QA]Cenário Teste,DocMatch,4h,,PLTFAT-13439,,,
Sub-Test,[QA]Execução Teste,[QA]Execução Teste,DocMatch,8h,,PLTFAT-13439,,,
