Issue Type,Summary,Description,Team,Original Estimate,Assignee,Parent Id,Sprint ID,Epic Link,Labels
Rituals,"[DocMatch-RT2/2026 S1] - Outras Cerimônias e Ritos do Safe","{panel:title=Outras Cerimônias e Ritos do Safe } Registro do esforço gasto na preparação e realização de Outras Cerimônias e Ritos do Safe (Chapters, PI Planning, System Demo, Portifólio Review, PDCA e etc). Período => 30/03/26 a 10/04/26 {panel}",DocMatch,0,,,252922,,
Training,"[DocMatch-RT2/2026 S1] - Treinamento / Workshop / Onboarding","{panel:title=Training} Atividades de treinamento no início do projeto/célula, onboarding de novos membros do time, capacitação em geral. Período => 30/03/26 a 10/04/26 {panel}",DocMatch,0,,,252922,,
