Issue Type,Summary,Description,Original Estimate,Assignee,Epic Link,Issue Id,Parent Id,Labels,Development Phase,Sprint ID,Team,Theme
Daily and Alignments,[DocMatch-RT1/2026 S6] - Daily e Reuniões de alinhamento,"{panel:title=Daily e Alignments} Registro do esforço gasto em daily meetings e outros alinhamentos relacionados ao projeto, que ocorram durante a sprint. Período => 16/03/26 a 27/03/26 {panel}",24,,,,,,,234757,DocMatch,Consentimento
Rituals,[DocMatch-RT1/2026 S6] - Planning,{panel:title=Planning} Registro do esforço gasto na preparação e realização de planning meetings. Período => 16/03/26 a 27/03/26 {panel},12,,,,,,,234757,DocMatch,Consentimento
Rituals,"[DocMatch-RT1/2026 S6] - Demo, Review e Retrospective",{panel:title=Sprint Demo/Review/Retrospective} Registro do esforço gasto na preparação e realização de Sprint Demo/Review/Retrospective meetings. Período => 16/03/26 a 27/03/26 {panel},12,,,,,,,234757,DocMatch,Consentimento
Training,[DocMatch-RT1/2026 S6] - Treinamento / Workshop / Onboarding,"{panel:title=Training} Atividades de treinamento no início do projeto/célula, onboarding de novos membros do time, capacitação em geral. Período => 16/03/26 a 27/03/26 {panel}",,,,,,,,234757,DocMatch,Consentimento
Agile Mastering,[DocMatch-RT1/2026 S6] - Atividades Gestão SM,{panel:title=Agile Mastering} Registro do esforço gasto pelo SL na condução do time e coaching no processo. Período => 16/03/26 a 27/03/26 {panel},80,,,,,,,234757,DocMatch,Consentimento
Management,[DocMatch-RT1/2026 S6] - Atividades Gerais TL,{panel:title=Management} Registro do esforço gasto pelo TL e ARQ na condução do time e coaching no processo. Período => 16/03/26 a 27/03/26 {panel},80,,,,,,,234757,DocMatch,Consentimento
Rituals,[DocMatch-RT1/2026 S6] - Refinamento,{panel:title=Planning} Registro do esforço gasto nos Refinamentos das histórias previstas para as próximas Sprints. Período => 16/03/26 a 27/03/26 {panel},24,,,,,,,234757,DocMatch,Consentimento
Rituals,"[DocMatch-RT1/2026 S6] - Outras Cerimônias e Ritos do Safe (Chapters, PI Planning, System Demo, Portifólio Review, PDCA e etc)",{panel:title=Outras Cerimônias e Ritos do Safe } Registro do esforço gasto na preparação e realização de Outras Cerimônias e Ritos do Safe . Período => 16/03/26 a 27/03/26 {panel},0,,,,,,,234757,DocMatch,Consentimento
Service Request,"[DocMatch-RT1/2026 S6] - Suporte, Sustentação e Apoio a outros times","{panel:title=Service Request} Registro do esforço gasto no Suporte, Sustentação e Apoio a outros times. Período => 16/03/26 a 27/03/26 {panel}",8,,,,,,,234757,DocMatch,Consentimento
