Issue Type,Summary,Description,Team,Original Estimate,Assignee,Parent Id,Sprint ID,Epic Link,Labels
Daily and Alignments,"[DocMatch-RT1/2026 S5] - Daily e Reuniões de alinhamento","{panel:title=Daily e Alignments} Registro do esforço gasto em daily meetings e outros alinhamentos relacionados ao projeto, que ocorram durante a sprint. Período => 02/03/26 a 13/03/26 {panel}",DocMatch,24h,,,234779,,
Rituals,"[DocMatch-RT1/2026 S5] - Planning","{panel:title=Planning} Registro do esforço gasto na preparação e realização de planning meetings. Período => 02/03/26 a 13/03/26 {panel}",DocMatch,12h,,,234779,,
Rituals,"[DocMatch-RT1/2026 S5] - Demo, Review e Retrospective","{panel:title=Sprint Demo/Review/Retrospective} Registro do esforço gasto na preparação e realização de Sprint Demo/Review/Retrospective meetings. Período => 02/03/26 a 13/03/26 {panel}",DocMatch,12h,,,234779,,
Training,"[DocMatch-RT1/2026 S5] - Treinamento / Workshop / Onboarding","{panel:title=Training} Atividades de treinamento no início do projeto/célula, onboarding de novos membros do time, capacitação em geral. Período => 02/03/26 a 13/03/26 {panel}",DocMatch,,,234779,,
Agile Mastering,"[DocMatch-RT1/2026 S5] - Atividades Gestão SM","{panel:title=Agile Mastering} Registro do esforço gasto pelo SL na condução do time e coaching no processo. Período => 02/03/26 a 13/03/26 {panel}",DocMatch,80h,,,234779,,
Management,"[DocMatch-RT1/2026 S5] - Atividades Gerais TL","{panel:title=Management} Registro do esforço gasto pelo TL e ARQ na condução do time e coaching no processo. Período => 02/03/26 a 13/03/26 {panel}",DocMatch,80h,,,234779,,
Rituals,"[DocMatch-RT1/2026 S5] - Refinamento","{panel:title=Planning} Registro do esforço gasto nos Refinamentos das histórias previstas para as próximas Sprints. Período => 02/03/26 a 13/03/26 {panel}",DocMatch,24h,,,234779,,
Rituals,"[DocMatch-RT1/2026 S5] - Outras Cerimônias e Ritos do Safe (Chapters, PI Planning, System Demo, Portifólio Review, PDCA e etc)","{panel:title=Outras Cerimônias e Ritos do Safe } Registro do esforço gasto na preparação e realização de Outras Cerimônias e Ritos do Safe . Período => 02/03/26 a 13/03/26 {panel}",DocMatch,,,234779,,
Service Request,"[DocMatch-RT1/2026 S5] - Suporte, Sustentação e Apoio a outros times","{panel:title=Service Request} Registro do esforço gasto no Suporte, Sustentação e Apoio a outros times. Período => 02/03/26 a 13/03/26 {panel}",DocMatch,12h,,,234779,,
