Issue Type,Summary,Description,Original Estimate,Assignee,Epic Link,Issue Id,Parent Id,Labels,Development Phase,Sprint ID,Team,Theme
Sub-Imp,[DEV]Solicitação e Configuração,[DEV]Solicitação e Configuração,1728000,,,,PLTFAT-11431,,DEV,,DocMatch,Consentimento
Sub-Env and SCM,[DEV]Deploy em DEV (limpa trilho),[DEV]Deploy em DEV (limpa trilho),1728000,,,,PLTFAT-11431,,DEV,,DocMatch,Consentimento
Sub-Test,[QA]Execução Teste,[QA]Execução Teste,216000,,,,PLTFAT-11431,,DEV,,DocMatch,Consentimento
Sub-Imp,[DEV]Migração de lógica e credenciais,[DEV]Migração de lógica e credenciais,1296000,,,,PLTFAT-11432,,DEV,,DocMatch,Consentimento
Sub-Imp,[DEV]Atualização do orquestrador,[DEV]Atualização do orquestrador,1296000,,,,PLTFAT-11432,,DEV,,DocMatch,Consentimento
Sub-Imp,[DEV]Testes e validação,[DEV]Testes e validação,1296000,,,,PLTFAT-11432,,DEV,,DocMatch,Consentimento
Sub-Env and SCM,[DEV]Configuração de ambientes,[DEV]Configuração de ambientes,1296000,,,,PLTFAT-11432,,DEV,,DocMatch,Consentimento
Sub-Test,[QA]Execução Teste,[QA]Execução Teste,216000,,,,PLTFAT-11432,,DEV,,DocMatch,Consentimento
Sub-Imp,[DEV]Migração de interface e implementação,[DEV]Migração de interface e implementação,1728000,,,,PLTFAT-11434,,DEV,,DocMatch,Consentimento
Sub-Imp,"[DEV]Migração de utilitários (Validation, RequestBuilder)","[DEV]Migração de utilitários (Validation, RequestBuilder)",1728000,,,,PLTFAT-11434,,DEV,,DocMatch,Consentimento
Sub-Imp,"[DEV]Testes (unitários, integração)","[DEV]Testes (unitários, integração)",1728000,,,,PLTFAT-11434,,DEV,,DocMatch,Consentimento
Sub-Env and SCM,[DEV]Configuração de ambientes e validação,[DEV]Configuração de ambientes e validação,1728000,,,,PLTFAT-11434,,DEV,,DocMatch,Consentimento
Sub-Test,[QA]Cenário Teste,[QA]Cenário Teste,864000,,,,PLTFAT-11434,,DEV,,DocMatch,Consentimento
Sub-Test,[QA]Execução Teste,[QA]Execução Teste,2592000,,,,PLTFAT-11434,,DEV,,DocMatch,Consentimento
Sub-Imp,[DEV]Agrupamento frente e verso,[DEV]Agrupamento frente e verso,3456000,,,,PLTFAT-12247,,DEV,,DocMatch,Consentimento
Sub-Imp,[DEV]Testes unitários,[DEV]Testes unitários,1728000,,,,PLTFAT-12247,,DEV,,DocMatch,Consentimento
Sub-Test,[QA]Execução Teste,[QA]Execução Teste,216000,,,,PLTFAT-12247,,DEV,,DocMatch,Consentimento
Daily and Alignments,[DocMatch-RT1/2026 S3] - Daily e Reuniões de alinhamento,"{panel:title=Daily e Alignments} Registro do esforço gasto em daily meetings e outros alinhamentos relacionados ao projeto, que ocorram durante a sprint. Período => 02/02/26 a 13/02/26 {panel}",5184000,,,,,,,234746,DocMatch,Consentimento
Rituals,[DocMatch-RT1/2026 S3] - Planning,{panel:title=Planning} Registro do esforço gasto na preparação e realização de planning meetings. Período => 02/02/26 a 13/02/26 {panel},2592000,,,,,,,234746,DocMatch,Consentimento
Rituals,"[DocMatch-RT1/2026 S3] - Demo, Review e Retrospective",{panel:title=Sprint Demo/Review/Retrospective} Registro do esforço gasto na preparação e realização de Sprint Demo/Review/Retrospective meetings. Período => 02/02/26 a 13/02/26 {panel},2592000,,,,,,,234746,DocMatch,Consentimento
Training,[DocMatch-RT1/2026 S3] - Treinamento / Workshop / Onboarding,"{panel:title=Training} Atividades de treinamento no início do projeto/célula, onboarding de novos membros do time, capacitação em geral. Período => 02/02/26 a 13/02/26 {panel}",,,,,,,,234746,DocMatch,Consentimento
Agile Mastering,[DocMatch-RT1/2026 S3] - Atividades Gestão SM,{panel:title=Agile Mastering} Registro do esforço gasto pelo SL na condução do time e coaching no processo. Período => 02/02/26 a 13/02/26 {panel},17280000,,,,,,,234746,DocMatch,Consentimento
Management,[DocMatch-RT1/2026 S3] - Atividades Gerais TL,{panel:title=Management} Registro do esforço gasto pelo TL e ARQ na condução do time e coaching no processo. Período => 02/02/26 a 13/02/26 {panel},17280000,,,,,,,234746,DocMatch,Consentimento
Rituals,[DocMatch-RT1/2026 S3] - Refinamento,{panel:title=Planning} Registro do esforço gasto nos Refinamentos das histórias previstas para as próximas Sprints. Período => 02/02/26 a 13/02/26 {panel},5184000,,,,,,,234746,DocMatch,Consentimento
Env and SCM,[DocMatch-RT1/2026 S3] - Registro de atividades para Change,{panel:title=Env and SCM} Registro de atividades para Change. Período => 02/02/26 a 13/02/26 {panel},6480000,,,,,,,234746,DocMatch,Consentimento
Management,[DocMatch-RT1/2026 S3] - Acompanhamento Técnico - CI&T,{panel:title=Management} Registro do esforço gasto pelo Dev Master CI&T na condução técnica do time e coaching no processo. Período => 02/02/26 a 13/02/26 {panel},,,,,,,,234746,DocMatch,Consentimento
Rituals,"[DocMatch-RT1/2026 S3] - Outras Cerimônias e Ritos do Safe (Chapters, PI Planning, System Demo, Portifólio Review, PDCA e etc)",{panel:title=Outras Cerimônias e Ritos do Safe } Registro do esforço gasto na preparação e realização de Outras Cerimônias e Ritos do Safe . Período => 02/02/26 a 13/02/26 {panel},,,,,,,,234746,DocMatch,Consentimento
Service Request,"[DocMatch-RT1/2026 S3] - Suporte, Sustentação e Apoio a outros times","{panel:title=Service Request} Registro do esforço gasto no Suporte, Sustentação e Apoio a outros times. Período => 02/02/26 a 13/02/26 {panel}",4320000,,,,,,,234746,DocMatch,Consentimento
