Issue Type,Summary,Description,Team,Original Estimate,Assignee,Parent Id,Sprint ID,Epic Link,Labels
Daily and Alignments,"[DocMatch-RT2/2026 S2] - Daily e Reuniões de alinhamento","{panel:title=Daily e Alignments} Registro do esforço gasto em daily meetings e outros alinhamentos relacionados ao projeto, que ocorram durante a sprint. Período => 13/04/2026 a 24/04/2026 {panel}",DocMatch,17.5h,,,252950,,
Rituals,"[DocMatch-RT2/2026 S2] - Planning","{panel:title=Planning} Registro do esforço gasto na preparação e realização de planning meetings. Período => 13/04/2026 a 24/04/2026 {panel}",DocMatch,10h,,,252950,,
Rituals,"[DocMatch-RT2/2026 S2] - Demo, Review e Retrospective","{panel:title=Sprint Demo/Review/Retrospective} Registro do esforço gasto na preparação e realização de Sprint Demo/Review/Retrospective meetings. Período => 13/04/2026 a 24/04/2026 {panel}",DocMatch,15h,,,252950,,
Training,"[DocMatch-RT2/2026 S2] - Treinamento / Workshop / Onboarding","{panel:title=Training} Atividades de treinamento no início do projeto/célula, onboarding de novos membros do time, capacitação em geral. Período => 13/04/2026 a 24/04/2026 {panel}",DocMatch,0h,,252950,,
Agile Mastering,"[DocMatch-RT2/2026 S2] - Atividades Gestão SM","{panel:title=Agile Mastering} Registro do esforço gasto pelo SL na condução do time e coaching no processo. Período => 13/04/2026 a 24/04/2026 {panel}",DocMatch,72h,,,252950,,
Management,"[DocMatch-RT2/2026 S2] - Atividades Gerais TL","{panel:title=Management} Registro do esforço gasto pelo TL e ARQ na condução do time e coaching no processo. Período => 13/04/2026 a 24/04/2026 {panel}",DocMatch,72h,,,252950,,
Rituals,"[DocMatch-RT2/2026 S2] - Refinamento","{panel:title=Planning} Registro do esforço gasto nos Refinamentos das histórias previstas para as próximas Sprints. Período => 13/04/2026 a 24/04/2026 {panel}",DocMatch,20h,,,252950,,
Rituals,"[DocMatch-RT2/2026 S2] - Outras Cerimônias e Ritos do Safe (Chapters, PI Planning, System Demo, Portifólio Review, PDCA e etc)","{panel:title=Outras Cerimônias e Ritos do Safe } Registro do esforço gasto na preparação e realização de Outras Cerimônias e Ritos do Safe. Período => 13/04/2026 a 24/04/2026 {panel}",DocMatch,0h,,252950,,
Service Request,"[DocMatch-RT2/2026 S2] - Suporte, Sustentação e Apoio a outros times","{panel:title=Service Request} Registro do esforço gasto no Suporte, Sustentação e Apoio a outros times. Período => 13/04/2026 a 24/04/2026 {panel}",DocMatch,8h,,,252950,,
