key,id,summary,issuetype,status,assignee,reporter,created,updated,labels,timeoriginalestimate,sprint,epic_link,team,company,pf_metricas,pf
PLTFAT-11427,5412329,Estruturar Dashboard para apresentação de dados de negócio,Story,Em produção,ROGERIO LUIS LOZANO DOS SANTOS,MARIA LUIZA KOBAYASHI DE AMORIM,2025-12-16T11:59:48.000-0300,2026-01-29T08:43:01.000-0300,,,DocMatch-RT1_Platafo-S1,PLTFAT-11414,DocMatch,Sem Company,5.52,5.52
PLTFAT-11429,5412337,Captar e apresentar tempo médio de jornada do cliente final,Story,Em produção,ROGERIO LUIS LOZANO DOS SANTOS,MARIA LUIZA KOBAYASHI DE AMORIM,2025-12-16T12:04:04.000-0300,2026-01-29T08:43:10.000-0300,,,DocMatch-RT1_Platafo-S1,PLTFAT-11414,DocMatch,Sem Company,5.52,5.52
PLTFAT-11465,5423825,Captar e apresentar dados de redução de fraudes documentais,Story,Em produção,MARIA LUIZA KOBAYASHI DE AMORIM,MARIA LUIZA KOBAYASHI DE AMORIM,2025-12-17T17:54:22.000-0300,2026-01-29T08:43:20.000-0300,,,DocMatch-RT1_Platafo-S1,PLTFAT-11414,DocMatch,Sem Company,5.52,5.52
PLTFAT-12247,5646652,"Agrupar frente e verso de documento, gerando arquivo PDF de documento completo",Story,Em produção,ALEX DARLLINSON AZEVEDO GONCALVES,MARIA LUIZA KOBAYASHI DE AMORIM,2026-01-28T19:17:01.000-0300,2026-02-19T13:28:25.000-0300,,,DocMatch-RT1_Platafo-S4,PLTFAT-12237,DocMatch,Sem Company,5.52,5.52
PLTFAT-11727,5509889,[QA] Execução Testes Automizados,Non Functional Task,Ativada,VINICIUS MOREIRA MARTINS DE OLIVEIRA,EDUARDO GOMES FERREIRA DA SILVA,2026-01-07T15:58:03.000-0300,2026-01-16T17:37:38.000-0300,,,DocMatch-RT1_Platafo-S1,PLTFAT-11414,DocMatch,Sem Company,0,0
PLTFAT-11049,5289633,Desenvolver tipificação de frente e verso de documento,Story,Ativada,ALEX DARLLINSON AZEVEDO GONCALVES,ERIK UEMURA CAMILO,2025-11-26T17:34:35.000-0300,2025-12-23T15:57:22.000-0300,,,DocMatch-RT8_Platafo-S6,PLTFAT-10050,DocMatch,Sem Company,5.52,5.52
PLTFAT-11002,5268714,Realizar testes de carga e Performance,Non Functional Task,Ativada,ALEX DARLLINSON AZEVEDO GONCALVES,DANIELE DA SILVA ARAUJO GONCALVES REIS,2025-11-24T15:10:27.000-0300,2026-01-12T14:48:20.000-0300,,,DocMatch-RT8_Platafo-S7,PLTFAT-10054,DocMatch,Sem Company,0,0
PLTFAT-11558,5460765,Adaptação de códigos de canais integrados ao DocMatch para armazenamento correto de logs,Story,Ativada,Não atribuído,MARIA LUIZA KOBAYASHI DE AMORIM,2025-12-24T11:47:05.000-0300,2025-12-30T17:02:29.000-0300,,,DocMatch-RT8_Platafo-S7,PLTFAT-10052,DocMatch,Sem Company,3.31,3.31
PLTFAT-11068,5304122,Reservar/Marcar e Validar Key Requests,Story,Ativada,ERIK UEMURA CAMILO,ERIK UEMURA CAMILO,2025-11-28T14:36:58.000-0300,2025-12-23T15:55:20.000-0300,,,DocMatch-RT8_Platafo-S6,PLTFAT-10052,DocMatch,Sem Company,5.52,5.52
PLTFAT-11093,5325649,Criar e Validar Regras de Management Zone - DEV,Story,Ativada,ERIK UEMURA CAMILO,ERIK UEMURA CAMILO,2025-12-02T19:12:01.000-0300,2025-12-23T16:01:26.000-0300,,,DocMatch-RT8_Platafo-S5,PLTFAT-10052,DocMatch,Sem Company,5.52,5.52
PLTFAT-11092,5325648,Reservar/Marcar e Validar Key Requests -DEV,Story,Ativada,ERIK UEMURA CAMILO,ERIK UEMURA CAMILO,2025-12-02T19:10:43.000-0300,2025-12-23T16:01:13.000-0300,,,DocMatch-RT8_Platafo-S5,PLTFAT-10052,DocMatch,Sem Company,5.52,5.52
PLTFAT-11091,5325646,Criar e Validar Regras de TAG’s - DEV,Story,Ativada,ERIK UEMURA CAMILO,ERIK UEMURA CAMILO,2025-12-02T19:08:34.000-0300,2025-12-23T16:01:08.000-0300,,,DocMatch-RT8_Platafo-S5,PLTFAT-10052,DocMatch,Sem Company,0,0
PLTFAT-11090,5325645,Criar Dashboard - DEV,Story,Ativada,ERIK UEMURA CAMILO,ERIK UEMURA CAMILO,2025-12-02T19:06:49.000-0300,2025-12-23T15:59:18.000-0300,,,DocMatch-RT8_Platafo-S5,PLTFAT-10052,DocMatch,Sem Company,5.52,5.52
PLTFAT-11055,5296121,Desenvolver Dashboard de Jornada no Dynatrace para monitorar chamadas de upload e análise de documentos em HML,Story,Ativada,ERIK UEMURA CAMILO,ERIK UEMURA CAMILO,2025-11-27T15:40:10.000-0300,2025-12-23T15:57:27.000-0300,,,DocMatch-RT8_Platafo-S5,PLTFAT-10052,DocMatch,Sem Company,22.08,22.08
PLTFAT-11127,5335960,Teste de conexão com o Bureau Serasa ao subir o serviço de orquestração da plataforma DocMatch,Story,Ativada,LUIZ CLAUDIO TRINDADE DE SOUZA FILHO,MARIA LUIZA KOBAYASHI DE AMORIM,2025-12-04T10:03:06.000-0300,2025-12-23T16:32:14.000-0300,,,DocMatch-RT8_Platafo-S6,PLTFAT-10050,DocMatch,Sem Company,5.52,5.52
PLTFAT-10649,5156425,Desenvolver serviço para registrar o tipo de documento enviado à plataforma,Story,Ativada,LUIZ CLAUDIO TRINDADE DE SOUZA FILHO,MARIA LUIZA KOBAYASHI DE AMORIM,2025-11-05T18:07:05.000-0300,2025-12-23T15:54:01.000-0300,,,DocMatch-RT8_Platafo-S5,PLTFAT-10052,DocMatch,Sem Company,0,3.31
PLTFAT-10648,5156422,Desenvolver serviço para registrar informações de falhas na análise documental,Story,Ativada,ALYSSON ALEXANDRE FERREIRA PACHECO [X],MARIA LUIZA KOBAYASHI DE AMORIM,2025-11-05T18:05:21.000-0300,2025-12-23T15:53:34.000-0300,,,DocMatch-RT8_Platafo-S5,PLTFAT-10052,DocMatch,Sem Company,3.31,3.31
PLTFAT-10647,5156407,"Desenvolver serviço para capturar, calcular e armazenar tempo de execução de jornada do cliente",Story,Ativada,ALYSSON ALEXANDRE FERREIRA PACHECO [X],MARIA LUIZA KOBAYASHI DE AMORIM,2025-11-05T17:52:01.000-0300,2025-12-23T15:53:25.000-0300,,,DocMatch-RT8_Platafo-S5,PLTFAT-10052,DocMatch,Sem Company,3.31,3.31
PLTFAT-10291,4997749,Armazenar dados de jornada do cliente na tabela MongoDB para futuras investigações e tomadas de decisão,Story,Ativada,NICOLAS BEZERRA BINI,MARIA LUIZA KOBAYASHI DE AMORIM,2025-10-13T12:04:56.000-0300,2025-11-21T08:42:04.000-0300,,,DocMatch-RT8_Platafo-S3,PLTFAT-10050,DocMatch,Sem Company,12.73,12.73
PLTFAT-10343,5025428,Implementar funcionalidade de logs de rastreabilidade no serviço de Facematch sem mock,Story,Ativada,ALYSSON ALEXANDRE FERREIRA PACHECO [X],MARIA LUIZA KOBAYASHI DE AMORIM,2025-10-15T18:28:36.000-0300,2025-12-23T15:52:54.000-0300,,,DocMatch-RT8_Platafo-S4,PLTFAT-10052,DocMatch,Sem Company,3.31,5.52
PLTFAT-10058,4914541,Modelar schema de rastreabilidade para eventos do sistema,Story,Ativada,ALYSSON ALEXANDRE FERREIRA PACHECO [X],MARIA LUIZA KOBAYASHI DE AMORIM,2025-09-30T13:28:24.000-0300,2025-11-10T08:51:38.000-0300,,,DocMatch-RT8_Platafo-S2,PLTFAT-10052,DocMatch,Sem Company,7.21,7.21
PLTFAT-10061,4914547,Desenvolver comunicação entre DocMatch e Serasa para serviço de Facematch,Story,Ativada,MARIA LUIZA KOBAYASHI DE AMORIM,MARIA LUIZA KOBAYASHI DE AMORIM,2025-09-30T13:34:53.000-0300,2025-11-18T15:31:37.000-0300,,,DocMatch-RT8_Platafo-S3,PLTFAT-10053,DocMatch,Sem Company,3.31,5.52
PLTFAT-10060,4914543,Desenvolver comunicação entre DocMatch e Serasa para serviço de OCR,Story,Ativada,ROGERIO LUIS LOZANO DOS SANTOS,MARIA LUIZA KOBAYASHI DE AMORIM,2025-09-30T13:30:38.000-0300,2025-11-18T15:26:05.000-0300,,,DocMatch-RT8_Platafo-S2,PLTFAT-10053,DocMatch,Sem Company,5.92,5.52
PLTFAT-10056,4914537,Implementar orquestração para integração do serviço DocMatch e extração documental,Story,Ativada,ALEX DARLLINSON AZEVEDO GONCALVES,MARIA LUIZA KOBAYASHI DE AMORIM,2025-09-30T13:25:30.000-0300,2025-11-18T15:31:17.000-0300,,,DocMatch-RT8_Platafo-S3,PLTFAT-10050,DocMatch,Sem Company,3.31,5.52
PLTFAT-10055,4914536,Desenvolver serviço de orquestração para fluxo de validação DocMatch,Story,Ativada,ALEX DARLLINSON AZEVEDO GONCALVES,MARIA LUIZA KOBAYASHI DE AMORIM,2025-09-30T13:24:55.000-0300,2025-11-18T15:20:21.000-0300,,,DocMatch-RT8_Platafo-S2,PLTFAT-10050,DocMatch,Sem Company,4.63,5.52
PLTFAT-10059,4914542,Implementar funcionalidade de logs de rastreabilidade no serviço de extração de caracteres do documento,Story,Ativada,ALYSSON ALEXANDRE FERREIRA PACHECO [X],MARIA LUIZA KOBAYASHI DE AMORIM,2025-09-30T13:28:46.000-0300,2025-11-10T17:08:26.000-0300,,,DocMatch-RT8_Platafo-S3,PLTFAT-10052,DocMatch,Sem Company,6.34,5.52
PLTFAT-10096,4918768,Criar repositório interno no Axway para expor serviços DocMatch,Story,Ativada,NICOLAS BEZERRA BINI,MARIA LUIZA KOBAYASHI DE AMORIM,2025-09-30T19:13:31.000-0300,2025-11-21T08:51:01.000-0300,,,DocMatch-RT8_Platafo-S2,PLTFAT-10074,DocMatch,Sem Company,0,5.52
PLTFAT-10097,4918769,Configurar repositório para integração DocMatch e GACB Light,Story,Ativada,NICOLAS BEZERRA BINI,MARIA LUIZA KOBAYASHI DE AMORIM,2025-09-30T19:13:59.000-0300,2025-11-21T08:51:15.000-0300,,,DocMatch-RT8_Platafo-S2,PLTFAT-10074,DocMatch,Sem Company,0,5.52
PLTFAT-11363,5391322,Implantação de HUBF - v2 Serasa,Non Functional Task,Ativada,ERIK VINICIUS PEREIRA DOS SANTOS,DANIELE DA SILVA ARAUJO GONCALVES REIS,2025-12-11T14:16:16.000-0300,2025-12-23T16:01:33.000-0300,,,DocMatch-RT8_Platafo-S6,PLTFAT-10050,DocMatch,Sem Company,0,3.4
PLTFAT-11201,5351500,Implantação base de dados do Orquestrador,Non Functional Task,Ativada,NICOLAS BEZERRA BINI,DANIELE DA SILVA ARAUJO GONCALVES REIS,2025-12-05T17:04:30.000-0300,2025-12-23T15:55:29.000-0300,,,DocMatch-RT8_Platafo-S6,PLTFAT-10050,DocMatch,Sem Company,0,3.4
PLTFAT-11257,5359827,Automatizar testes DocMatch,Non Functional Task,Ativada,VINICIUS MOREIRA MARTINS DE OLIVEIRA,DANIELE DA SILVA ARAUJO GONCALVES REIS,2025-12-08T12:33:14.000-0300,2026-01-12T14:48:29.000-0300,,,DocMatch-RT8_Platafo-S7,PLTFAT-10054,DocMatch,Sem Company,0,0
PLTFAT-11512,5440037,Implantação base do Config,Non Functional Task,Ativada,NICOLAS BEZERRA BINI,ERIK VINICIUS PEREIRA DOS SANTOS,2025-12-22T09:15:40.000-0300,2026-01-12T14:48:50.000-0300,,,,PLTFAT-10054,DocMatch,Sem Company,0,0
PLTFAT-11168,5342659,Criação de queries para captação e tratamento dos indicadores de negócio da plataforma DocMatch,Story,Ativada,ROGERIO LUIS LOZANO DOS SANTOS,MARIA LUIZA KOBAYASHI DE AMORIM,2025-12-04T16:53:02.000-0300,2025-12-23T16:52:52.000-0300,,,DocMatch-RT8_Platafo-S6,PLTFAT-10052,DocMatch,Sem Company,5.52,44.16
PLTFAT-11130,5337098,Criação de serviço de virtualização para execução de testes de carga na plataforma DocMatch,Story,Ativada,ALEX DARLLINSON AZEVEDO GONCALVES,MARIA LUIZA KOBAYASHI DE AMORIM,2025-12-04T11:47:47.000-0300,2025-12-23T15:54:29.000-0300,,,DocMatch-RT8_Platafo-S6,PLTFAT-10054,DocMatch,Sem Company,1.32,1.32
PLTFAT-10879,5206395,Implantação de HUBF,Non Functional Task,Ativada,ROGERIO LUIS LOZANO DOS SANTOS,DANIELE DA SILVA ARAUJO GONCALVES REIS,2025-11-13T10:01:47.000-0300,2025-12-03T11:05:25.000-0300,,,DocMatch-RT8_Platafo-S4,PLTFAT-10050,DocMatch,Sem Company,0,0
PLTFAT-10802,5188462,Adequar contratos do DocMatch para utilização de arquivos em base64,Story,Ativada,ALEX DARLLINSON AZEVEDO GONCALVES,ERIK UEMURA CAMILO,2025-11-10T20:22:55.000-0300,2025-12-23T15:54:22.000-0300,,,DocMatch-RT8_Platafo-S4,PLTFAT-10050,DocMatch,Sem Company,3.31,3.31
PLTFAT-10915,5219612,Apoio técnico na abertura de RITMs e abertura de Changes,Non Functional Task,Ativada,DANIELE DA SILVA ARAUJO GONCALVES REIS,DANIELE DA SILVA ARAUJO GONCALVES REIS,2025-11-14T15:26:36.000-0300,2025-12-23T15:41:04.000-0300,,,DocMatch-RT8_Platafo-S4,,DocMatch,Sem Company,0,0
PLTFAT-10567,5127493,Adaptar orquestrador da plataforma para inclusão de diferentes tipos de uploads na jornada,Story,Ativada,ALEX DARLLINSON AZEVEDO GONCALVES,MARIA LUIZA KOBAYASHI DE AMORIM,2025-10-31T14:56:08.000-0300,2025-12-23T15:40:58.000-0300,,,DocMatch-RT8_Platafo-S4,PLTFAT-10050,DocMatch,Sem Company,3.31,3.31
PLTFAT-10541,5122560,Implementar orquestração para integração para serviço de configurações da plataforma,Story,Ativada,ALEX DARLLINSON AZEVEDO GONCALVES,MARIA LUIZA KOBAYASHI DE AMORIM,2025-10-30T17:56:23.000-0300,2025-12-23T15:53:16.000-0300,,,DocMatch-RT8_Platafo-S4,PLTFAT-10050,DocMatch,Sem Company,3.31,5.52
PLTFAT-10554,5122590,Implementar funcionalidade de logs de rastreabilidade no armazenamento de imagens,Story,Ativada,ALYSSON ALEXANDRE FERREIRA PACHECO [X],MARIA LUIZA KOBAYASHI DE AMORIM,2025-10-30T18:23:10.000-0300,2025-12-23T15:53:21.000-0300,,,DocMatch-RT8_Platafo-S4,PLTFAT-10052,DocMatch,Sem Company,3.31,5.52
PLTFAT-11064,5303031,Criar key requests em HML para monitorar chamadas de upload e análise de documentos,Story,Ativada,ERIK UEMURA CAMILO,ERIK UEMURA CAMILO,2025-11-28T13:36:15.000-0300,2025-12-23T15:59:04.000-0300,,,DocMatch-RT8_Platafo-S5,PLTFAT-10052,DocMatch,Sem Company,3.31,3.31
PLTFAT-11062,5303023,Criar regras de TAGs em HML para monitorar chamadas de upload e análise de documentos,Story,Ativada,ERIK UEMURA CAMILO,ERIK UEMURA CAMILO,2025-11-28T13:26:24.000-0300,2025-12-23T15:58:51.000-0300,,,DocMatch-RT8_Platafo-S5,PLTFAT-10052,DocMatch,Sem Company,3.31,3.31
PLTFAT-11067,5303045,Ajustar e Validar Regras de TAG’s - PRD,Story,Ativada,ERIK UEMURA CAMILO,ERIK UEMURA CAMILO,2025-11-28T14:31:46.000-0300,2025-12-23T16:55:00.000-0300,,,DocMatch-RT8_Platafo-S6,PLTFAT-10052,DocMatch,Sem Company,0,11.04
PLTFAT-11066,5303042,Criar Dashboard de Jornada em PRD,Story,Ativada,ERIK UEMURA CAMILO,ERIK UEMURA CAMILO,2025-11-28T14:27:41.000-0300,2025-12-23T15:55:00.000-0300,,,DocMatch-RT8_Platafo-S6,PLTFAT-10052,DocMatch,Sem Company,0,5.52
PLTFAT-10738,5170878,Criação de scripts jmeter para execução de upload e analise de documento,Story,Ativada,ROGERIO LUIS LOZANO DOS SANTOS,MARIA LUIZA KOBAYASHI DE AMORIM,2025-11-07T17:30:14.000-0300,2025-12-23T15:54:07.000-0300,,,DocMatch-RT8_Platafo-S4,PLTFAT-10054,DocMatch,Sem Company,0,5.52
PLTFAT-10500,5105741,PRD - Management Zone,Story,Ativada,GUSTAVO GONCALES VIEIRA SEVERO GRACA [X],DANIELE DA SILVA ARAUJO GONCALVES REIS,2025-10-28T16:18:35.000-0300,2025-11-21T08:47:06.000-0300,,,DocMatch-RT8_Platafo-S3,PLTFAT-10052,DocMatch,Sem Company,0,5.52
PLTFAT-10489,5104522,HML - Management Zone,Story,Ativada,GUSTAVO GONCALES VIEIRA SEVERO GRACA [X],DANIELE DA SILVA ARAUJO GONCALVES REIS,2025-10-28T15:02:28.000-0300,2025-11-21T08:45:26.000-0300,,,DocMatch-RT8_Platafo-S3,PLTFAT-10052,DocMatch,Sem Company,0,5.52
PLTFAT-10488,5104518,HML - TAG’s,Story,Ativada,GUSTAVO GONCALES VIEIRA SEVERO GRACA [X],DANIELE DA SILVA ARAUJO GONCALVES REIS,2025-10-28T15:02:10.000-0300,2025-11-21T08:45:12.000-0300,,,DocMatch-RT8_Platafo-S3,PLTFAT-10052,DocMatch,Sem Company,0,5.52
PLTFAT-10487,5104511,HML - Dashboard,Story,Ativada,GUSTAVO GONCALES VIEIRA SEVERO GRACA [X],DANIELE DA SILVA ARAUJO GONCALVES REIS,2025-10-28T15:00:20.000-0300,2025-11-21T08:44:54.000-0300,,,DocMatch-RT8_Platafo-S3,PLTFAT-10052,DocMatch,Sem Company,4.14,5.52
PLTFAT-10491,5104526,HML - Threshold e Alertas,Story,Ativada,GUSTAVO GONCALES VIEIRA SEVERO GRACA [X],DANIELE DA SILVA ARAUJO GONCALVES REIS,2025-10-28T15:03:28.000-0300,2025-11-21T08:46:04.000-0300,,,DocMatch-RT8_Platafo-S3,PLTFAT-10052,DocMatch,Sem Company,1.38,3.31
PLTFAT-10490,5104523,HML - Key Request,Story,Ativada,GUSTAVO GONCALES VIEIRA SEVERO GRACA [X],DANIELE DA SILVA ARAUJO GONCALVES REIS,2025-10-28T15:02:46.000-0300,2025-11-21T08:45:43.000-0300,,,DocMatch-RT8_Platafo-S3,PLTFAT-10052,DocMatch,Sem Company,1.38,5.52
PLTFAT-10499,5105739,PRD - TAG’s,Story,Ativada,GUSTAVO GONCALES VIEIRA SEVERO GRACA [X],DANIELE DA SILVA ARAUJO GONCALVES REIS,2025-10-28T16:18:11.000-0300,2025-11-21T08:46:44.000-0300,,,DocMatch-RT8_Platafo-S3,PLTFAT-10052,DocMatch,Sem Company,0,3.31
PLTFAT-10498,5105734,PRD - Dashboard,Story,Ativada,DANIELE DA SILVA ARAUJO GONCALVES REIS,DANIELE DA SILVA ARAUJO GONCALVES REIS,2025-10-28T16:17:20.000-0300,2025-11-21T08:46:27.000-0300,,,DocMatch-RT8_Platafo-S3,PLTFAT-10052,DocMatch,Sem Company,4.14,5.52
PLTFAT-10502,5105744,PRD - Threshold e Alertas,Story,Ativada,GUSTAVO GONCALES VIEIRA SEVERO GRACA [X],DANIELE DA SILVA ARAUJO GONCALVES REIS,2025-10-28T16:19:12.000-0300,2025-11-21T08:49:09.000-0300,,,DocMatch-RT8_Platafo-S3,PLTFAT-10052,DocMatch,Sem Company,1.38,3.31
PLTFAT-11633,5492401,Implantação do serviço Orquestrador,Non Functional Task,Ativada,ERIK VINICIUS PEREIRA DOS SANTOS,ERIK VINICIUS PEREIRA DOS SANTOS,2026-01-05T08:58:53.000-0300,2026-01-12T14:49:17.000-0300,,,DocMatch-RT1_Platafo-S1,PLTFAT-10054,DocMatch,Sem Company,5.52,5.52
PLTFAT-11636,5492459,Implantação do serviço Config,Non Functional Task,Ativada,ALEX DARLLINSON AZEVEDO GONCALVES,ERIK VINICIUS PEREIRA DOS SANTOS,2026-01-05T09:33:40.000-0300,2026-01-12T14:49:26.000-0300,,,DocMatch-RT1_Platafo-S1,PLTFAT-10054,DocMatch,Sem Company,5.52,5.52
PLTFAT-10057,4914539,Implementar orquestração para integração para serviço de comparação de documento e selfie do cliente,Story,Ativada,ALEX DARLLINSON AZEVEDO GONCALVES,MARIA LUIZA KOBAYASHI DE AMORIM,2025-09-30T13:25:59.000-0300,2025-12-23T15:52:42.000-0300,,,DocMatch-RT8_Platafo-S4,PLTFAT-10050,DocMatch,Sem Company,3.31,5.52
PLTFAT-10348,5025571,Implementar serviço de consulta ao canal para validar acesso a plataforma,Story,Ativada,LUIZ CLAUDIO TRINDADE DE SOUZA FILHO,MARIA LUIZA KOBAYASHI DE AMORIM,2025-10-15T19:44:50.000-0300,2025-12-23T15:53:02.000-0300,,,DocMatch-RT8_Platafo-S4,PLTFAT-10342,DocMatch,Sem Company,5.52,5.52
PLTFAT-10347,5025570,Desenvolver serviço de configuração para fluxo de validação DocMatch,Story,Ativada,LUIZ CLAUDIO TRINDADE DE SOUZA FILHO,MARIA LUIZA KOBAYASHI DE AMORIM,2025-10-15T19:43:04.000-0300,2025-11-21T08:51:39.000-0300,,,DocMatch-RT8_Platafo-S3,PLTFAT-10342,DocMatch,Sem Company,5.52,5.52
PLTFAT-10351,5025575,Disponibilizar tabelas de dados do serviço de configuração da plataforma,Story,Ativada,NICOLAS BEZERRA BINI,MARIA LUIZA KOBAYASHI DE AMORIM,2025-10-15T19:51:50.000-0300,2025-12-23T15:53:09.000-0300,,,DocMatch-RT8_Platafo-S4,PLTFAT-10342,DocMatch,Sem Company,7.21,5.52
