key,id,summary,issuetype,status,assignee,reporter,created,updated,labels,timeoriginalestimate,sprint,epic_link,team,company,pf_metricas,pf
PLTFAT-11637,5492470,Atualizar Schema de Rastreabilidade,Non Functional Task,Ativada,ROGERIO LUIS LOZANO DOS SANTOS,DANIELE DA SILVA ARAUJO GONCALVES REIS,2026-01-05T09:41:41.000-0300,2026-01-12T14:50:49.000-0300,,,DocMatch-RT1_Platafo-S1,PLTFAT-10054,DocMatch,Sem Company,0,0
PLTFAT-11431,5412339,Criar novo repositório para comunicação com entidades externas,Story,Ativada,ALEX DARLLINSON AZEVEDO GONCALVES,MARIA LUIZA KOBAYASHI DE AMORIM,2025-12-16T12:04:51.000-0300,2026-02-18T13:48:35.000-0300,,,DocMatch-RT1_Platafo-S3,PLTFAT-11416,DocMatch,Sem Company,0,0
PLTFAT-11470,5423832,Captar e apresentar volume de documentos processados,Story,Ativada,MARCIO DE FREITAS VIANA,MARIA LUIZA KOBAYASHI DE AMORIM,2025-12-17T17:57:01.000-0300,2026-02-18T13:48:52.000-0300,,,DocMatch-RT1_Platafo-S3,PLTFAT-11414,DocMatch,Sem Company,3.31,3.31
PLTFAT-11428,5412336,Captar e apresentar taxa de conversão da jornada com DocMatch,Story,Ativada,ROGERIO LUIS LOZANO DOS SANTOS,MARIA LUIZA KOBAYASHI DE AMORIM,2025-12-16T12:02:04.000-0300,2026-02-18T13:48:44.000-0300,,,DocMatch-RT1_Platafo-S1,PLTFAT-11414,DocMatch,Sem Company,0,5.52
PLTFAT-11432,5412340,Migrar credenciais da plataforma de Biometria para plataforma DocMatch,Story,Ativada,ROGERIO LUIS LOZANO DOS SANTOS,MARIA LUIZA KOBAYASHI DE AMORIM,2025-12-16T12:05:29.000-0300,2026-02-18T13:48:40.000-0300,,,DocMatch-RT1_Platafo-S3,PLTFAT-11416,DocMatch,Sem Company,3.31,3.31
PLTFAT-11469,5423830,Captar e apresentar taxa de erro por tipo de documento,Story,Ativada,Não atribuído,MARIA LUIZA KOBAYASHI DE AMORIM,2025-12-17T17:56:34.000-0300,2026-02-18T14:22:32.000-0300,,,DocMatch-RT1_Platafo-S3,PLTFAT-11414,DocMatch,Sem Company,5.52,5.52
PLTFAT-11466,5423826,Captar e apresentar taxa de sucesso do OCR,Story,Ativada,ROGERIO LUIS LOZANO DOS SANTOS,MARIA LUIZA KOBAYASHI DE AMORIM,2025-12-17T17:54:44.000-0300,2026-02-18T13:48:47.000-0300,,,DocMatch-RT1_Platafo-S3,PLTFAT-11414,DocMatch,Sem Company,0,5.52
PLTFAT-10188,4956290,Estudo sobre os testes funcionais e automatizados e sobre documentação,Tech Solution,Fechado,VINICIUS MOREIRA MARTINS DE OLIVEIRA,DANIELE DA SILVA ARAUJO GONCALVES REIS,2025-10-07T11:47:13.000-0300,2025-10-13T10:46:24.000-0300,,,DocMatch-RT8_Platafo-S1,,DocMatch,Sem Company,0,0
PLTFAT-10092,4918621,"Logs de negócio e rastreabilidas, e preparação de schema",Tech Solution,Fechado,LUIZ CLAUDIO TRINDADE DE SOUZA FILHO,DANIELE DA SILVA ARAUJO GONCALVES REIS,2025-09-30T17:13:43.000-0300,2025-11-21T08:53:21.000-0300,,,DocMatch-RT8_Platafo-S1,PLTFAT-10052,DocMatch,Sem Company,0,0
PLTFAT-10091,4918617,Tratativas de modelagem,Tech Solution,Fechado,ALEX DARLLINSON AZEVEDO GONCALVES,DANIELE DA SILVA ARAUJO GONCALVES REIS,2025-09-30T17:12:55.000-0300,2025-11-21T08:53:07.000-0300,,,DocMatch-RT8_Platafo-S1,PLTFAT-10050,DocMatch,Sem Company,0,0
PLTFAT-10090,4918607,Preparação da estrutura do microserviço do Docmatch,Tech Solution,Fechado,ALEX DARLLINSON AZEVEDO GONCALVES,DANIELE DA SILVA ARAUJO GONCALVES REIS,2025-09-30T17:09:52.000-0300,2025-11-21T08:52:25.000-0300,,,DocMatch-RT8_Platafo-S1,PLTFAT-10050,DocMatch,Sem Company,0,0
PLTFAT-10093,4918624,Estudo de configuração do MongoDB no ambiente local,Tech Solution,Fechado,NICOLAS BEZERRA BINI,DANIELE DA SILVA ARAUJO GONCALVES REIS,2025-09-30T17:14:17.000-0300,2025-11-21T08:53:37.000-0300,,,DocMatch-RT8_Platafo-S1,PLTFAT-10050,DocMatch,Sem Company,0,0
PLTFAT-10112,4922511,Mapeamento das alterações necessárias no entidade externas,Tech Solution,Fechado,ROGERIO LUIS LOZANO DOS SANTOS,DANIELE DA SILVA ARAUJO GONCALVES REIS,2025-10-01T11:51:33.000-0300,2025-11-21T08:53:50.000-0300,,,DocMatch-RT8_Platafo-S1,PLTFAT-10053,DocMatch,Sem Company,0,0
PLTFAT-10113,4922513,Definição das configurações para expor o DOcMatch no Gateway da Axway,Tech Solution,Fechado,NICOLAS BEZERRA BINI,DANIELE DA SILVA ARAUJO GONCALVES REIS,2025-10-01T11:53:02.000-0300,2025-11-21T08:54:03.000-0300,,,DocMatch-RT8_Platafo-S1,PLTFAT-10074,DocMatch,Sem Company,0,0
PLTFAT-12185,5598621,Preparação do módulo de entidade-externa DocMatch,Tech Solution,Fechado,ROGERIO LUIS LOZANO DOS SANTOS,EDUARDO GOMES FERREIRA DA SILVA,2026-01-21T16:07:32.000-0300,2026-02-02T16:56:16.000-0300,,,DocMatch-RT1_Platafo-S2,PLTFAT-11416,DocMatch,Sem Company,0,0
PLTFAT-12162,5593075,"[QA] Análise de Testes Automatizados: Avaliação da Cobertura, Estrutura e Documentação dos Testes já existentes",Tech Solution,Fechado,FERNANDO VELOSO DE OLIVEIRA,EDUARDO GOMES FERREIRA DA SILVA,2026-01-21T09:17:45.000-0300,2026-02-11T16:40:48.000-0300,,,DocMatch-RT1_Platafo-S2,,DocMatch,Sem Company,0,0
PLTFAT-11624,5488880,Preparação da Estrutura - Portal DocMatch (Storage account),Tech Solution,Fechado,ERIK VINICIUS PEREIRA DOS SANTOS,DANIELE DA SILVA ARAUJO GONCALVES REIS,2026-01-02T14:58:09.000-0300,2026-02-12T10:01:04.000-0300,,,DocMatch-RT1_Platafo-S1,PLTFAT-11417,DocMatch,Sem Company,0,0
PLTFAT-11623,5488867,Preparação da estrutura - Portal DocMatch ( EntraID),Tech Solution,Fechado,ALEX DARLLINSON AZEVEDO GONCALVES,DANIELE DA SILVA ARAUJO GONCALVES REIS,2026-01-02T14:53:44.000-0300,2026-02-18T13:52:38.000-0300,,,DocMatch-RT1_Platafo-S1,PLTFAT-11417,DocMatch,Sem Company,0,0
PLTFAT-11434,5412342,Desenvolver serviço para análise Facematch,Story,Disponivel para Teste,MARCIO DE FREITAS VIANA,MARIA LUIZA KOBAYASHI DE AMORIM,2025-12-16T12:06:29.000-0300,2026-02-19T16:37:39.000-0300,,,DocMatch-RT1_Platafo-S4,PLTFAT-11416,DocMatch,Sem Company,5.52,5.52
